Data. godzina;Pobór energii [kWh];Oddanie [kWh];
2021-04-01 1:00;0.821;0;
2021-04-01 2:00;0.485;0;
2021-04-01 3:00;0.832;0;
2021-04-01 4:00;0.39;0;
2021-04-01 5:00;0.33;0;
2021-04-01 6:00;0.316;0;
2021-04-01 7:00;0.224;0.011;
2021-04-01 8:00;0.016;0.235;
2021-04-01 9:00;0;1.991;
2021-04-01 10:00;0.383;2.854;
2021-04-01 11:00;0;4.286;
2021-04-01 12:00;0.251;4.006;
2021-04-01 13:00;0.018;4.356;
2021-04-01 14:00;0.14;3.273;
2021-04-01 15:00;0.164;1.378;
2021-04-01 16:00;0.063;2.415;
2021-04-01 17:00;0.08;1.212;
2021-04-01 18:00;0.234;0.192;
2021-04-01 19:00;0.519;0.002;
2021-04-01 20:00;1.389;0;
2021-04-01 21:00;0.738;0;
2021-04-01 22:00;0.836;0;
2021-04-01 23:00;0.867;0;
2021-04-01 00:00;0.546;0;
2021-04-02 1:00;0.472;0;
2021-04-02 2:00;0.441;0;
2021-04-02 3:00;0.387;0;
2021-04-02 4:00;0.319;0;
2021-04-02 5:00;0.307;0;
2021-04-02 6:00;0.337;0;
2021-04-02 7:00;0.298;0;
2021-04-02 8:00;0.112;0.068;
2021-04-02 9:00;0.014;0.468;
2021-04-02 10:00;0.215;1.667;
2021-04-02 11:00;0.065;3.63;
2021-04-02 12:00;0;5.332;
2021-04-02 13:00;0;5.746;
2021-04-02 14:00;0;5.165;
2021-04-02 15:00;0.573;3.892;
2021-04-02 16:00;0.225;3.716;
2021-04-02 17:00;0.109;2.55;
2021-04-02 18:00;0.29;1.329;
2021-04-02 19:00;0.732;0.189;
2021-04-02 20:00;1.111;0;
2021-04-02 21:00;1.061;0;
2021-04-02 22:00;0.681;0;
2021-04-02 23:00;1.173;0;
2021-04-02 00:00;0.568;0;
2021-04-03 1:00;0.418;0;
2021-04-03 2:00;0.399;0;
2021-04-03 3:00;0.405;0;
2021-04-03 4:00;0.327;0;
2021-04-03 5:00;0.307;0;
2021-04-03 6:00;0.332;0;
2021-04-03 7:00;0.298;0;
2021-04-03 8:00;0.118;0.03;
2021-04-03 9:00;0.106;0.108;
2021-04-03 10:00;0.571;0.426;
2021-04-03 11:00;0.101;0.352;
2021-04-03 12:00;0.632;0.469;
2021-04-03 13:00;0.528;2.118;
2021-04-03 14:00;0;3.47;
2021-04-03 15:00;0.303;3.898;
2021-04-03 16:00;0.554;1.768;
2021-04-03 17:00;0.621;1.883;
2021-04-03 18:00;0.868;0.633;
2021-04-03 19:00;0.268;0.361;
2021-04-03 20:00;0.784;0;
2021-04-03 21:00;0.657;0;
2021-04-03 22:00;0.737;0;
2021-04-03 23:00;0.847;0;
2021-04-03 00:00;0.708;0;
2021-04-04 1:00;0.452;0;
2021-04-04 2:00;0.378;0;
2021-04-04 3:00;0.323;0;
2021-04-04 4:00;0.334;0;
2021-04-04 5:00;0.326;0;
2021-04-04 6:00;0.308;0;
2021-04-04 7:00;0.204;0.008;
2021-04-04 8:00;0.043;0.277;
2021-04-04 9:00;0;2.604;
2021-04-04 10:00;0.127;3.576;
2021-04-04 11:00;0;4.426;
2021-04-04 12:00;0.321;3.542;
2021-04-04 13:00;0.221;3.289;
2021-04-04 14:00;0;3.377;
2021-04-04 15:00;0.016;1.552;
2021-04-04 16:00;0.094;0.88;
2021-04-04 17:00;0.001;1.241;
2021-04-04 18:00;0.238;0.348;
2021-04-04 19:00;0.269;0.111;
2021-04-04 20:00;0.612;0.001;
2021-04-04 21:00;0.642;0;
2021-04-04 22:00;0.668;0;
2021-04-04 23:00;0.673;0;
2021-04-04 00:00;0.715;0;
2021-04-05 1:00;0.624;0;
2021-04-05 2:00;0.419;0;
2021-04-05 3:00;0.368;0;
2021-04-05 4:00;0.309;0;
2021-04-05 5:00;0.363;0;
2021-04-05 6:00;0.313;0;
2021-04-05 7:00;0.189;0.019;
2021-04-05 8:00;0.013;0.389;
2021-04-05 9:00;0;2.471;
2021-04-05 10:00;0.257;2.811;
2021-04-05 11:00;0;4.305;
2021-04-05 12:00;0.004;3.371;
2021-04-05 13:00;0.026;3.877;
2021-04-05 14:00;0.001;3.831;
2021-04-05 15:00;0.013;2.261;
2021-04-05 16:00;0.131;1.012;
2021-04-05 17:00;0.131;0.78;
2021-04-05 18:00;0.384;0.025;
2021-04-05 19:00;0.581;0;
2021-04-05 20:00;0.477;0;
2021-04-05 21:00;0.668;0;
2021-04-05 22:00;0.781;0;
2021-04-05 23:00;0.784;0;
2021-04-05 00:00;0.709;0;
2021-04-06 1:00;0.42;0;
2021-04-06 2:00;0.4;0;
