Data, godzina;Pobór energii [kWh];Oddanie [kWh];
2021-04-20 1:00;0,402;0;
2021-04-20 2:00;0,376;0;
2021-04-20 3:00;0,344;0;
2021-04-20 4:00;0,298;0;
2021-04-20 5:00;0,305;0;
2021-04-20 6:00;0,277;0;
2021-04-20 7:00;0,047;0,287;
2021-04-20 8:00;0,001;1,413;
2021-04-20 9:00;0,18;1,767;
2021-04-20 10:00;0,001;2,9;
2021-04-20 11:00;0,031;4,685;
2021-04-20 12:00;0,071;5,11;
2021-04-20 13:00;0;5,461;
2021-04-20 14:00;0,011;5,3;
2021-04-20 15:00;0,033;3,31;
2021-04-20 16:00;0,007;2,564;
2021-04-20 17:00;0,051;1,44;
2021-04-20 18:00;0,351;1,062;
2021-04-20 19:00;0,354;0,136;
2021-04-20 20:00;0,477;0,01;
2021-04-20 21:00;0,621;0;
2021-04-20 22:00;0,608;0;
2021-04-20 23:00;0,702;0;
2021-04-20 00:00;0,67;0;
2021-04-21 1:00;0,633;0;
2021-04-21 2:00;0,646;0;
2021-04-21 3:00;0,579;0;
2021-04-21 4:00;0,349;0;
2021-04-21 5:00;0,304;0;
2021-04-21 6:00;0,298;0;
2021-04-21 7:00;0,105;0,201;
2021-04-21 8:00;0,336;1,392;
2021-04-21 9:00;0,378;1,61;
2021-04-21 10:00;0,139;3,467;
2021-04-21 11:00;0,016;3,923;
2021-04-21 12:00;0,045;4,518;
2021-04-21 13:00;0,017;4,865;
2021-04-21 14:00;0,123;2,221;
2021-04-21 15:00;0,059;2,739;
2021-04-21 16:00;0,964;2,768;
2021-04-21 17:00;0,051;1,61;
2021-04-21 18:00;0,02;1,257;
2021-04-21 19:00;0,382;0,316;
2021-04-21 20:00;0,568;0,02;
2021-04-21 21:00;0,798;0;
2021-04-21 22:00;1,144;0;
2021-04-21 23:00;0,535;0;
2021-04-21 00:00;0,466;0;
