;Pobór energii [kWh];Oddanie [kWh];
2021-03-01;14.143;0;
2021-03-02;13.791;0;
2021-03-03;18.509;0;
2021-03-04;14.518;1.543;
2021-03-05;11.535;5.071;
2021-03-06;10.52;21.352;
2021-03-07;17.175;3.317;
2021-03-08;12.222;5.421;
2021-03-09;8.13;20.598;
2021-03-10;9.781;23.426;
2021-03-11;8.64;8.298;
2021-03-12;8.373;12.119;
2021-03-13;8.996;17.409;
2021-03-14;8.452;18.328;
2021-03-15;9.058;11.547;
2021-03-16;9.358;11.276;
2021-03-17;10.305;5.982;
2021-03-18;8.797;14.272;
2021-03-19;9.585;15.356;
2021-03-20;11.376;21.445;
2021-03-21;14.279;4.486;
2021-03-22;8.15;21.121;
2021-03-23;8.842;15.481;
2021-03-24;9.903;8.166;
2021-03-25;7.991;25.114;
2021-03-26;12.17;17.358;
2021-03-27;8.885;22.121;
2021-03-28;9.098;23.9;
2021-03-29;11.494;10.892;
2021-03-30;7.188;19.093;
2021-03-31;8.147;34.909;
2021-04-01;9.642;26.211;
2021-04-02;9.49;33.752;
2021-04-03;10.889;15.516;
2021-04-04;6.965;25.232;
2021-04-05;7.545;25.152;
2021-04-06;9.324;15.35;
2021-04-07;7.98;20.193;
2021-04-08;9.012;13.333;
2021-04-09;7.384;39.563;
2021-04-10;10.229;28.341;
2021-04-11;8.733;25.735;
2021-04-12;8.574;23.781;
2021-04-13;12.024;5.855;
2021-04-14;9.599;10.862;
2021-04-15;12.193;6.205;
2021-04-16;12.228;1.909;
2021-04-17;12.76;1.729;
2021-04-18;9.771;14.203;
2021-04-19;8.116;18.803;
2021-04-20;6.218;35.445;
2021-04-21;8.955;30.907;
